show_id,type,title,director,casts,country,release_year,rating,duration,listed_in,description,Date_added_converted
s5278,MOVIE,#REALITYHIGH,"FERNANDO LEBRIJA","NESTA COOPER, KATE WALSH, JOHN MICHAEL HIGGINS, KEITH POWERS, ALICIA SANZ, JAKE BORELLI, KID INK, YOUSEF ERAKAT, REBEKAH GRAF, ANNE WINTERS, PETER GILROY, PATRICK DAVIS","UNITED STATES",2017,TV-14,"99 min",Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017-09-08
s5974,MOVIE,#ROXY,"MICHAEL KENNEDY","JAKE SHORT, SARAH FISHER, BOOBOO STEWART, DANNY TREJO, PIPPA MACKIE, JAKE SMITH, PATRICIA ZENTILLI, CARTER THICKE",CANADA,2018,TV-14,"105 min","Comedies, Romantic Movies","A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.",2019-04-10
s5696,MOVIE,#RUCKER50,"ROBERT MCCULLOUGH JR.",NULL,"UNITED STATES",2016,TV-PG,"56 min","Documentaries, Sports Movies","This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.",2016-12-01
s655,MOVIE,#SELFIE,"CRISTINA JACOB","FLAVIA HOJDA, CRINA SEMCIUC, OLIMPIA MELINTE, SALI LEVENT, VLAD LOGIGAN, ALEX CĂLIN, ALINA CHIVULESCU, RĂZVAN VASILESCU",ROMANIA,2014,TV-MA,"125 min","Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",2021-06-21
s656,MOVIE,"#SELFIE 69","CRISTINA JACOB","MAIA MORGENSTERN, OLIMPIA MELINTE, CRINA SEMCIUC, FLAVIA HOJDA, MARIA DINULESCU, ALEX CĂLIN, VLAD LOGIGAN, SALI LEVENT, SILVIA BUSUIOC, MIHAELA MIHUT",ROMANIA,2016,TV-MA,"119 min","Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",2021-06-21
s5980,MOVIE,"1 CHANCE 2 DANCE","ADAM DEYOE","LEXI GIOVAGNOLI, JUSTIN RAY, RAE LATT, POONAM BASU, TERESA BITER, KALILAH HARRIS, ALEXIA DOX, ADAM POWELL, SEAN MCBRIDE","UNITED STATES",2014,TV-PG,"89 min","Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",2017-07-01
s5981,MOVIE,"1 MILE TO YOU","LEIF TILDEN","BILLY CRUDUP, GRAHAM ROGERS, LIANA LIBERATO, STEFANIE SCOTT, TIM ROTH, MELANIE LYNSKEY, THOMAS COCQUEREL, PETER COYOTE","UNITED STATES",2017,TV-14,"105 min","Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",2017-07-07
s3393,MOVIE,"10 DAYS IN SUN CITY","ADZE UGAH","AYO MAKUN, ADESUA ETOMI, RICHARD MOFE-DAMIJO, MERCY JOHNSON, FALZ, TUFACE IDIBIA, THENJIWE MOSELEY, MOTLATSI MAFATSHE, CELESTE NTULI, MIGUEL A. NÚÑEZ JR.","SOUTH AFRICA, NIGERIA",2017,TV-14,"87 min","Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",2019-10-18
s5388,MOVIE,"10 JOURS EN OR","NICOLAS BROSSETTE","FRANCK DUBOSC, CLAUDE RICH, MARIE KREMER, MATHIS TOURÉ, RUFUS, OLIVIER CLAVERIE",FRANCE,2012,TV-14,"97 min","Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",2017-07-01
s5982,MOVIE,"10,000 B.C.","ROLAND EMMERICH","STEVEN STRAIT, CAMILLA BELLE, CLIFF CURTIS, JOEL VIRGEL, AFFIF BEN BADRA, MO ZINAL, NATHANAEL BARING, MONA HAMMOND, OMAR SHARIF","UNITED STATES, SOUTH AFRICA",2008,PG-13,"109 min","Action & Adventure","Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.",2019-06-01
s1584,"TV SHOW","100 DAYS MY PRINCE",NULL,"DOH KYUNG-SOO, NAM JI-HYUN, CHO SEONG-HA, CHO HAN-CHEUL, KIM SEON-HO, HAN SO-HEE","SOUTH KOREA",2018,TV-14,"1 Season","International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",2020-12-07
s5983,MOVIE,"100 DAYS OF SOLITUDE",NULL,NULL,SPAIN,2018,TV-MA,"93 min","Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",2018-07-06
s2817,"TV SHOW","100 HUMANS",NULL,"ZAINAB JOHNSON, SAMMY OBEID, ALIE WARD","UNITED STATES",2020,TV-14,"1 Season","Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",2020-03-13
s5578,MOVIE,"100 METERS","MARCEL BARRENA","DANI ROVIRA, KARRA ELEJALDE, ALEXANDRA JIMÉNEZ, DAVID VERDAGUER, CLARA SEGURA, ALBA RIBAS, BRUNO BERGONZINI, RICARDO PEREIRA, MANUELA COUTO, MARC BALAGUER","PORTUGAL, SPAIN",2016,TV-MA,"109 min","Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",2017-03-10
s3315,MOVIE,"100 THINGS TO DO BEFORE HIGH SCHOOL",NULL,"ISABELA MONER, JAHEEM TOOMBS, OWEN JOYNER, JACK DE SENA, BRADY REITER, LISA ARCH, STEPHANIE ESCAJEDA","UNITED STATES",2014,TV-Y,"44 min",Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",2019-11-02
s5984,MOVIE,"100 YEARS: ONE WOMAN'S FIGHT FOR JUSTICE","MELINDA JANKO",NULL,"UNITED STATES",2016,TV-14,"75 min",Documentaries,"This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.",2018-03-20
s1434,MOVIE,"100% HALAL","JASTIS ARIMBA","ANISA RAHMA, ARIYO WAHAB, ANANDITO DWIS, FITRIA RASYIDI, ARAFAH RIANTI, KINARYOSIH",INDONESIA,2020,TV-14,"101 min","Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",2021-01-07
s5985,"TV SHOW","100% HOTTER",NULL,"DANIEL PALMER, MELISSA SOPHIA, KAREN WILLIAMS, GRACE WOODWARD","UNITED KINGDOM",2017,TV-14,"1 Season","British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",2019-11-01
s5697,MOVIE,"1000 RUPEE NOTE","SHRIHARI SATHE","USHA NAIK, SANDEEP PATHAK, SHRIKANT YADAV, GANESH YADAV, POOJA NAYAK, DEVENDRA GAIKWAD",INDIA,2014,TV-14,"89 min","Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",2016-12-01
s5986,MOVIE,"12 ROUND GUN","SAM UPTON","SAM UPTON, JARED ABRAHAMSON, MARK BOONE JUNIOR, LAILA ALI, KATE VERNON, CASSI THOMSON, COLBY FRENCH, MIGUEL PEREZ, JAY ACOVONE","UNITED STATES",2017,TV-MA,"90 min","Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",2019-03-14
s5987,"TV SHOW","12 YEARS PROMISE",NULL,"SO-YEON LEE, NAMKOONG MIN, TAE-IM LEE, SO-HUI YOON, WON-KEUN LEE, HYO-YOUNG RYU","SOUTH KOREA",2014,TV-14,"1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",2017-05-22
s2444,MOVIE,122,"YASIR AL YASIRI","AMINA KHALIL, AHMED DAWOOD, TAREK LOTFY, AHMED EL FISHAWY, MAHMOUD HIJAZI, JIHANE KHALIL, ASMAA GALAL, TARA EMAD",EGYPT,2019,TV-MA,"95 min","Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",2020-06-01
s5988,MOVIE,"13 CAMERAS","VICTOR ZARCOFF","PJ MCCABE, BRIANNE MONCRIEF, SARAH BALDWIN, JIM CUMMINGS, HEIDI NIEDERMEYER, NEVILLE ARCHAMBAULT","UNITED STATES",2015,UR,"90 min","Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",2016-08-13
s2418,"TV SHOW","13 REASONS WHY",NULL,"DYLAN MINNETTE, KATHERINE LANGFORD, KATE WALSH, DEREK LUKE, BRIAN D'ARCY JAMES, ALISHA BOE, CHRISTIAN NAVARRO, MILES HEIZER, ROSS BUTLER, DEVIN DRUID, MICHELE SELENE ANG, STEVEN SILVER, AMY HARGREAVES","UNITED STATES",2020,TV-MA,"4 Seasons","Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",2020-06-05
s3562,"TV SHOW","13 REASONS WHY: BEYOND THE REASONS",NULL,"DYLAN MINNETTE, KATHERINE LANGFORD, KATE WALSH, DEREK LUKE, ALISHA BOE, JUSTIN PRENTICE, BRANDON FLYNN, MILES HEIZER, CHRISTIAN NAVARRO, BRIAN YORKEY, TOM MCCARTHY, SELENA GOMEZ, MANDY TEEFEY, JAY ASHER, DR. RONA HU, DR. HELEN HSU, DR. REBECCA HEDRICK, ALEXIS JONES, ELAINE WELTEROTH, JULIA BICKNELL, DR. CHRISTINE MOUTIER, NIC SHEFF, CARRIE GOLDBERG, ANNE WINTERS, JOY GORMAN, BRANDON BUTLER, MARISSA JO CERAR, SUSANNE TIMMS","UNITED STATES",2019,TV-MA,"3 Seasons","Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in "13 Reasons Why."",2019-08-23
s5989,MOVIE,"13 SINS","DANIEL STAMM","MARK WEBBER, RUTINA WESLEY, DEVON GRAYE, TOM BOWER, RON PERLMAN, PRUITT TAYLOR VINCE","UNITED STATES",2014,R,"93 min","Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",2019-01-13
s5758,MOVIE,13TH,"AVA DUVERNAY",NULL,"UNITED STATES",2016,TV-MA,"101 min",Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",2016-10-07
s5990,MOVIE,"13TH: A CONVERSATION WITH OPRAH WINFREY & AVA DUVERNAY",NULL,"OPRAH WINFREY, AVA DUVERNAY",NULL,2017,NULL,"37 min",Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",2017-01-26
s5991,MOVIE,"14 BLADES","DANIEL LEE","DONNIE YEN, ZHAO WEI, WU CHUN, LAW KAR-YING, KATE TSUI, YUWU QI, WU MA, CHEN KUAN TAI, SAMMO KAM-BO HUNG, CHEN ZHI HUI, DAMIAN LAU, XIANG DONG XU","HONG KONG, CHINA, SINGAPORE",2010,R,"113 min","Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",2019-04-03
s5992,MOVIE,"14 CAMERAS","SCOTT HUSSION, SETH FULLER","NEVILLE ARCHAMBAULT, AMBER MIDTHUNDER, BRYTNEE RATLEDGE, HANK ROGERSON, CHELSEA EDMUNDSON, JOHN-PAUL HOWARD, LORA MARTINEZ-CUNNINGHAM, BRIANNE MONCRIEF","UNITED STATES",2018,TV-MA,"89 min","Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",2018-10-27
s4136,MOVIE,"14 MINUTES FROM EARTH","ADAM DAVIS, JERRY KOLBER, TREY NELSON, ERICH STURM",NULL,"UNITED STATES",2016,TV-MA,"84 min",Documentaries,"A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.",2019-02-01
s3963,MOVIE,"15 AUGUST","SWAPNANEEL JAYAKAR","RAHUL PETHE, MRUNMAYEE DESHPANDE, ADINATH KOTHARE, VAIBHAV MANGALE, JAYWANT WADKAR, SATISH PULEKAR, NAINA APTE, UDAY TIKEKAR",INDIA,2019,TV-14,"124 min","Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019-03-29
s5967,MOVIE,15-AUG,"SWAPNANEEL JAYAKAR","RAHUL PETHE, MRUNMAYEE DESHPANDE, ADINATH KOTHARE, VAIBHAV MANGALE, JAYWANT WADKAR, SATISH PULEKAR, NAINA APTE, UDAY TIKEKAR",INDIA,2019,TV-14,"124 min","Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019-03-29
s5993,MOVIE,"16 BLOCKS","RICHARD DONNER","BRUCE WILLIS, MOS DEF, DAVID MORSE, JENNA STERN, CYLK COZART, CASEY SANDER, DAVID ZAYAS, ROBERT RACKI, PATRICK GARROW, SASHA ROIZ","UNITED STATES, GERMANY",2006,PG-13,"102 min","Action & Adventure","Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",2019-11-01
s5994,MOVIE,"17 AGAIN","BURR STEERS","ZAC EFRON, LESLIE MANN, MATTHEW PERRY, THOMAS LENNON, MICHELLE TRACHTENBERG, MELORA HARDIN, STERLING KNIGHT, HUNTER PARRISH, NICOLE SULLIVAN, ALLISON MILLER","UNITED STATES",2009,PG-13,"102 min",Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a "do-over" – and that's exactly what he gets when he wakes up to find he's 17 again.",2021-01-01
s2551,MOVIE,"18 PRESENTS","FRANCESCO AMATO","VITTORIA PUCCINI, BENEDETTA PORCAROLI, EDOARDO LEO, SARA LAZZARO, MARCO MESSERI, BETTY PEDRAZZI, ALESSANDRO GIALLOCOSTA, FILIPPO GILI, GIACOMO ROSSELLI",ITALY,2020,TV-MA,"114 min","Dramas, Independent Movies, International Movies","A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.",2020-05-08
s5961,MOVIE,187,"KEVIN REYNOLDS","SAMUEL L. JACKSON, JOHN HEARD, KELLY ROWAN, CLIFTON COLLINS JR., TONY PLANA","UNITED STATES",1997,R,"119 min",Dramas,"After one of his high school students attacks him, dedicated teacher Trevor Garfield grows weary of the gang warfare in the New York City school system and moves to California to teach there, thinking it must be a less hostile environment.",2019-11-01
s5444,MOVIE,"1898: OUR LAST MEN IN THE PHILIPPINES","SALVADOR CALVO","LUIS TOSAR, JAVIER GUTIÉRREZ, ÁLVARO CERVANTES, KARRA ELEJALDE, CARLOS HIPÓLITO, RICARDO GÓMEZ, PATRICK CRIADO, EDUARD FERNÁNDEZ, MIGUEL HERRÁN, EMILIO PALACIOS",SPAIN,2016,R,"130 min","Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.",2017-06-02
s5963,MOVIE,1920,"VIKRAM BHATT","RAJNEESH DUGGAL, ADAH SHARMA, INDRANEIL SENGUPTA, ANJORI ALAGH, RAJENDRANATH ZUTSHI, VIPIN SHARMA, AMIN HAJEE, SHRI VALLABH VYAS",INDIA,2008,TV-MA,"143 min","Horror Movies, International Movies, Thrillers","An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.",2017-12-15
s5208,MOVIE,1922,"ZAK HILDITCH","THOMAS JANE, MOLLY PARKER, DYLAN SCHMID, KAITLYN BERNARD, BOB FRAZER, BRIAN D'ARCY JAMES, NEAL MCDONOUGH","UNITED STATES",2017,TV-MA,"103 min","Dramas, Thrillers","A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",2017-10-20
s4351,"TV SHOW",1983,NULL,"ROBERT WIĘCKIEWICZ, MACIEJ MUSIAŁ, MICHALINA OLSZAŃSKA, ANDRZEJ CHYRA, CLIVE RUSSELL, ZOFIA WICHŁACZ, EDYTA OLSZÓWKA, MATEUSZ KOŚCIUKIEWICZ, EWA BŁASZCZYK, VU LE HONG, TOMASZ WŁOSOK, KRZYSZTOF WACH","POLAND, UNITED STATES",2018,TV-MA,"1 Season","Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",2018-11-30
s3809,"TV SHOW",1994,"DIEGO ENRIQUE OSORNO",NULL,MEXICO,2019,TV-MA,"1 Season","Crime TV Shows, Docuseries, International TV Shows","Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",2019-05-17
s5995,MOVIE,1BR,"DAVID MARMOR","NICOLE BRYDON BLOOM, GILES MATTHEY, TAYLOR NICHOLS, ALAN BLUMENFELD, CELESTE SULLY, SUSAN DAVIS, CLAYTON HOFF, EARNESTINE PHILLIPS","UNITED STATES",2019,TV-MA,"90 min","Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",2020-08-23
s5996,MOVIE,"1ST SUMMONING","RAYMOND WOOD","HAYLEY LOVITT, TEDDY COLE, BROOK TODD, ACE HARNEY, JASON MACDONALD","UNITED STATES",2018,TV-MA,"94 min","Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",2019-07-26
s189,MOVIE,"2 ALONE IN PARIS","RAMZY BEDIA, ÉRIC JUDOR","RAMZY BEDIA, ÉRIC JUDOR, BENOÎT MAGIMEL, KRISTIN SCOTT THOMAS, ÉLODIE BOUCHEZ, ÉDOUARD BAER, FRED TESTOT, OMAR SY",FRANCE,2008,TV-MA,"97 min","Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",2021-08-28
s775,MOVIE,"2 HEARTS","LANCE HOOL","JACOB ELORDI, ADAN CANTO, RADHA MITCHELL, TIERA SKOVBYE, KARI MATCHETT, TAHMOH PENIKETT","UNITED STATES",2020,PG-13,"101 min","Dramas, Faith & Spirituality, Romantic Movies","In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",2021-06-02
s4713,MOVIE,"2 STATES","ABHISHEK VARMAN","ALIA BHATT, ARJUN KAPOOR, RONIT ROY, AMRITA SINGH, REVATHY, ARU KRISHANSH VERMA",INDIA,2014,TV-PG,"143 min","Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",2018-08-04
s439,MOVIE,"2 WEEKS IN LAGOS","KATHRYN FASEGHA","BEVERLY NAYA, MAWULI GAVOR, AJOKE SILVA, JIDE KOSOKO, TOYIN ABRAHAM, OKEY UZOESHI, DEYEMI OKANLAWON, SHAFFY BELLO, TINA MBA, EFE IRELE",NULL,2020,TV-PG,"107 min","Dramas, International Movies, Romantic Movies","A businessman returns home to Nigeria and falls in love with a friend's sister despite his family’s plan for him to marry a politician’s daughter.",2021-07-16
s4052,MOVIE,"2,215","NOTTAPON BOONPRAKOB","ARTIWARA KONGMALAI",THAILAND,2018,TV-MA,"89 min","Documentaries, International Movies, Sports Movies","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017.",2019-03-01
s5997,MOVIE,"20 FEET FROM STARDOM","MORGAN NEVILLE","DARLENE LOVE, MERRY CLAYTON, LISA FISCHER, TÁTA VEGA, CLAUDIA LENNEAR, JUDITH HILL, BRUCE SPRINGSTEEN, MICK JAGGER, STEVIE WONDER, STING, BETTE MIDLER, CISSY HOUSTON, SHERYL CROW, TATA VEGA","UNITED STATES",2013,PG-13,"91 min","Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.",2018-09-22
s5325,"TV SHOW","20 MINUTES",NULL,"TUBA BÜYÜKÜSTÜN, ILKER AKSUM, BÜLENT EMIN YARAR, İPEK BILGIN, MÜJDE UZMAN, FIRAT ÇELIK, AYTEN UNCUOGLU, CIHAT TAMER",TURKEY,2013,TV-MA,"1 Season","Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",2017-08-15
s1114,MOVIE,2012,"ROLAND EMMERICH","JOHN CUSACK, AMANDA PEET, CHIWETEL EJIOFOR, THANDIE NEWTON, OLIVER PLATT, TOM MCCARTHY, WOODY HARRELSON, DANNY GLOVER, LIAM JAMES, MORGAN LILY","UNITED STATES",2009,PG-13,"158 min","Action & Adventure, Sci-Fi & Fantasy","When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",2021-04-01
s5998,MOVIE,"2015 DREAM CONCERT",NULL,"4MINUTE, B1A4, BTOB, ELSIE, EXID, EXO, GOT7, INFINITE, KARA, SHINEE, SISTAR, VIXX, NINE MUSES, BTS, SECRET, TOPP DOGG","SOUTH KOREA",2015,TV-PG,"107 min","International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.",2017-04-28
s5999,MOVIE,"2036 ORIGIN UNKNOWN","HASRAF DULULL","KATEE SACKHOFF, RAY FEARON, JULIE COX, STEVEN CREE, DAVID TSE, JOE DAVID WALTERS","UNITED KINGDOM",2018,TV-14,"95 min","Sci-Fi & Fantasy","Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.",2018-12-20
s6000,MOVIE,"20TH CENTURY WOMEN","MIKE MILLS","ANNETTE BENING, ELLE FANNING, GRETA GERWIG, LUCAS JADE ZUMANN, BILLY CRUDUP","UNITED STATES",2016,R,"119 min","Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.",2019-06-28
s5960,MOVIE,21,"ROBERT LUKETIC","JIM STURGESS, KEVIN SPACEY, KATE BOSWORTH, AARON YOO, LIZA LAPIRA, JACOB PITTS, LAURENCE FISHBURNE, JACK MCGEE, JOSH GAD, SAM GOLZARI, HELEN CAREY, JACK GILPIN","UNITED STATES",2008,PG-13,"123 min",Dramas,"A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.",2020-01-01
s6001,MOVIE,"21 & OVER","JON LUCAS, SCOTT MOORE","MILES TELLER, SKYLAR ASTIN, JUSTIN CHON, SARAH WRIGHT, JONATHAN KELTZ, FRANÇOIS CHAU, RUSSELL HODGKINSON, DANIEL BOOKO, RUSSELL MERCADO, JOSIE LOREN, DUSTIN YBARRA","UNITED STATES",2013,R,"93 min",Comedies,"Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.",2019-04-16
